"id","contaminant","incident_url","date_reported","date_incident","county","latitude","longitude","volume","units","contained","created_at","updated_at"
11307,"diesel fuel","EIR654","2004-01-29","2004-01-28","McLean",47.73946,-101.28266,175,"gallons"," ","2017-03-11 23:36:24.733023","2017-03-11 23:36:24.733023"
11306,"Fuel Oil","EIR655","2004-02-04","2004-02-03","Rolette",48.84156,-99.73382,150,"gallons"," ","2017-03-11 23:36:24.730665","2017-03-11 23:36:24.730665"
11305,"crude oil","EIR656","2004-02-10","2004-02-10","Bowman",46.08278,-103.64969,5,"gallons"," ","2017-03-11 23:36:24.728143","2017-03-11 23:36:24.728143"
11303,"crude oil","EIR657","2004-02-17","2004-02-17","Pembina",48.7083,-97.11918,," "," ","2017-03-11 23:36:24.72255","2017-03-11 23:36:24.72255"
11304,"Engine Lubricant Oil","EIR658","2004-02-17","2004-02-17","Mercer",47.26302,-101.775,30,"gallons"," ","2017-03-11 23:36:24.725646","2017-03-11 23:36:24.725646"
11302,"Crude oil","EIR659","2004-02-19","2004-02-18","Dunn",47.3938,-102.70549,1,"barrels"," ","2017-03-11 23:36:24.719836","2017-03-11 23:36:24.719836"
11300,"RR Diesel Fuel","EIR661","2004-03-08","2004-03-08","Grand Forks",47.91121,-97.05556,150,"gallons"," ","2017-03-11 23:36:24.715138","2017-03-11 23:36:24.715138"
11301,"Crude oil condensate","EIR660","2004-03-08","2004-03-07","Billings",46.8686,-103.38965,1,"barrels"," ","2017-03-11 23:36:24.717462","2017-03-11 23:36:24.717462"
11299,"Gasoline odor detected immediately after derailment.","EIR662","2004-03-09","2004-03-09","Mountrail",48.37988,-102.83143,," "," ","2017-03-11 23:36:24.712837","2017-03-11 23:36:24.712837"
11298,"Diesel Fuel","EIR663","2004-03-14","2004-03-14","Griggs",47.30607,-98.1835,," "," ","2017-03-11 23:36:24.710553","2017-03-11 23:36:24.710553"
11297,"Diesel fuel","EIR664","2004-03-17","2004-03-17","Walsh",48.41969,-97.43746,50,"gallons"," ","2017-03-11 23:36:24.708188","2017-03-11 23:36:24.708188"
11296,"Crude oil","EIR665","2004-03-19","2004-03-17","Bowman",46.2275,-103.94026,2,"barrels"," ","2017-03-11 23:36:24.705722","2017-03-11 23:36:24.705722"
11295,"sodium aluminate solution","EIR666","2004-03-26","2004-03-25","Cass",46.88343,-96.83011,75,"gallons"," ","2017-03-11 23:36:24.703251","2017-03-11 23:36:24.703251"
11294,"Unleaded gasoline","EIR667","2004-03-30","2004-03-30","Eddy",47.68009,-99.11496,6000,"gallons"," ","2017-03-11 23:36:24.700368","2017-03-11 23:36:24.700368"
11293,"Lube Oil","EIR668","2004-04-01","2004-03-31","McHenry",47.9271,-100.38116,30,"gallons"," ","2017-03-11 23:36:24.695698","2017-03-11 23:36:24.695698"
11290,"Diesel fuel and motor oil","EIR669","2004-04-12","2004-04-08","Pierce",48.27573,-100.18253,8,"gallons"," ","2017-03-11 23:36:24.236041","2017-03-11 23:36:24.236041"
11292,"Ethanol","EIR670","2004-04-12","2004-04-01","Pembina",48.92678,-97.91667,2400,"pounds"," ","2017-03-11 23:36:24.240637","2017-03-11 23:36:24.240637"
11288,"Rolls of paper pulp. (Consistency of Paper Towels)","EIR671","2004-04-15","2004-04-14","Emmons",46.05094,-100.07733,36021,"pounds"," ","2017-03-11 23:36:24.230727","2017-03-11 23:36:24.230727"
11289,"Diesel Fuel","EIR672","2004-04-15","2004-04-13","Richland",46.26163,-96.81342,180,"gallons"," ","2017-03-11 23:36:24.233717","2017-03-11 23:36:24.233717"
11287,"Unleaded Gasoline","EIR679","2004-04-16","2004-04-16","Ward",48.24717,-101.28531,500,"gallons"," ","2017-03-11 23:36:24.228374","2017-03-11 23:36:24.228374"
11286,"Prowl ( Pendamethulin)","EIR683","2004-04-20","2004-04-19","Richland",46.01486,-97.08449,17,"gallons"," ","2017-03-11 23:36:24.225579","2017-03-11 23:36:24.225579"
11285,"Crude Oil","EIR684","2004-04-21","2004-04-21","McKenzie",47.3935,-103.51288,4,"barrels"," ","2017-03-11 23:36:24.223329","2017-03-11 23:36:24.223329"
11284,"Hydraulic Oil -petroleum based, non-detergent.","EIR685","2004-04-27","2004-04-27","Grand Forks",47.91127,-97.07712,50,"gallons"," ","2017-03-11 23:36:24.220894","2017-03-11 23:36:24.220894"
11291,"Non-PCB Tranformer Oil - Dielectric Oil","EIR686","2004-05-07","2004-04-05","Traill",47.65037,-97.44261,70,"gallons"," ","2017-03-11 23:36:24.238336","2017-03-11 23:36:24.238336"
11283,"diesel fuel","EIR688","2004-05-11","2004-05-11","Richland",46.46371,-96.83049,20,"gallons"," ","2017-03-11 23:36:24.218453","2017-03-11 23:36:24.218453"
11282,"liquid fertilizer  28-0-0","EIR687","2004-05-13","2004-05-13","Grand Forks",47.91106,-97.65599,4000,"gallons"," ","2017-03-11 23:36:24.215827","2017-03-11 23:36:24.215827"
11281,"3 gallons - Prowl 3.3EC, &9 #, Sencor DF 75 % dry flowable ; plus 67 gallons - water","EIR691","2004-05-17","2004-05-17","Ransom",46.46462,-97.47927,70,"gallons"," ","2017-03-11 23:36:24.213353","2017-03-11 23:36:24.213353"
11280,"rinse Rise water from Deltamethrin, Abate 5-SG, and Permethrin","EIR689","2004-05-19","2004-05-18","Cass",46.86969,-96.91516,300,"gallons"," ","2017-03-11 23:36:24.21078","2017-03-11 23:36:24.21078"
11279,"Tar Oil from Great Plains Synfuels Plant","EIR690","2004-05-20","2004-05-19","Mercer",47.26308,-101.79618,20,"gallons"," ","2017-03-11 23:36:24.208033","2017-03-11 23:36:24.208033"
11278,"Diesel fuel","EIR692","2004-05-26","2004-05-26","Ramsey",48.11508,-98.86507,50,"gallons"," ","2017-03-11 23:36:24.203446","2017-03-11 23:36:24.203446"
11277,"fuel oil #2","EIR693","2004-06-01","2004-06-01","Stutsman",46.89919,-98.66093,30,"gallons"," ","2017-03-11 23:36:23.688816","2017-03-11 23:36:23.688816"
11276,"waste oil","EIR694","2004-06-02","2004-06-02","Grand Forks",47.94039,-97.0771,150,"gallons"," ","2017-03-11 23:36:23.686291","2017-03-11 23:36:23.686291"
11273,"MC-70 asphalt/oil","EIR696","2004-06-03","2004-06-03","Stutsman",46.73967,-98.74461,7000,"gallons"," ","2017-03-11 23:36:23.678374","2017-03-11 23:36:23.678374"
